permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
365-good-teacher,365 Good Teacher,http://www.365hls.com/,Finance,-,operating,,,,,1,,2014-04-01,2014-04-01
365-retail-markets,365 Retail Markets,http://www.365retailmarkets.com,Point of Sale@@SaaS@@Software,-,operating,USA,MI,Detroit,Troy,3,2009-08-01,2013-04-01,2015-05-29
365looks,365looks,http://365looks.com,Artificial Intelligence@@Fashion@@Technology,609229,operating,ESP,,,,4,2011-12-12,2011-12-01,2012-09-01
365scores,365Scores,http://biz.365scores.com,Android@@Apps@@iPhone@@Mobile@@Sports,6700000,operating,GBR,H9,London,London,2,2008-01-01,2013-01-28,2014-09-29
365webcall,365webcall,http://www.365webcall.com,Enterprises@@Enterprise Software,-,operating,CHN,2,Hangzhou,Hangzhou,1,,2004-03-01,2004-03-01
36kr,36Kr,http://36kr.com,Blogging Platforms@@Internet@@Public Relations@@Social Media@@Startups,1573976,operating,CHN,22,Beijing,Beijing,3,1999-01-01,2011-04-01,2015-10-15
37coins,37coins,http://www.37coins.com,Bitcoin,525000,operating,USA,CA,SF Bay Area,Sunnyvale,2,2014-01-01,2014-03-15,2014-06-01
37mhealth,37mhealth,http://www.37mhealth.com/,Mobile,1629549,operating,CHN,,,,1,2013-01-01,2014-03-01,2014-03-01
37signals,Basecamp,https://basecamp.com/,Project Management@@SaaS@@Social Media@@Software,-,operating,USA,IL,Chicago,Chicago,1,1999-01-01,2006-07-01,2006-07-01
38-zeros,38 Zeros,http://www.38zeros.com/,Software,800000,operating,USA,OR,"Portland, Oregon",Portland,1,,2015-03-11,2015-03-11
382-communications,382 Communications,http://382com.com,Mobile,1600000,operating,USA,MA,Boston,Quincy,1,2010-01-01,2012-01-13,2012-01-13
39-health,39 Health,http://corp.39.net,Health and Wellness,3750000,operating,CHN,30,Guangzhou,Guangzhou,2,,2006-03-01,2007-03-01
3baysover,3BaysOver,http://www.3baysover.com,Networking@@Online Travel@@Travel,1719583,operating,CHE,7,Geneva,Geneva,2,2011-08-01,2011-08-01,2014-07-10
3c-interactive,3Cinteractive,http://www.3C.com,Business Services@@Marketing Automation@@Mobile,6000000,operating,USA,FL,Palm Beaches,Boca Raton,1,2005-01-01,2011-03-01,2011-03-01
3c-plus,3C Plus,http://www.3cplusnow.com,Cloud Computing@@Communications Hardware@@Contact Centers@@Customer Service@@Internet@@Software@@VoIP@@Web Development,75000,operating,BRA,18,Curitiba,Curitiba,1,2013-01-10,2013-01-10,2013-01-10
3ci,3CI,http://www.3ci.bz.it/en-US/Products.html,Biotechnology,133620,operating,ITA,6,Bolzano,Bolzano,1,2008-01-01,2011-01-01,2011-01-01
3claps-the-fastest-baby-fashion,3Claps,http://www.3claps.com,Babies@@Big Data Analytics@@E-Commerce@@Fashion@@Kids,35000,operating,USA,NY,New York City,New York,1,2015-02-01,2015-07-01,2015-07-01
3clickemr-corporation,3ClickEMR Corporation,http://www.3clickemr.com,Consumer Electronics@@Electronic Health Records@@Health Care@@iPad@@Software,500000,closed,USA,MA,Boston,West Roxbury,2,2010-06-23,2010-06-23,2011-06-01
3clogic,3CLogic,http://www.3clogic.com,Customer Service@@Sales and Marketing@@Software@@Telephony,9311190,operating,USA,MD,"Washington, D.C.",Rockville,4,2005-01-01,2013-01-14,2015-07-07
3crowd-technologies,XDN/3Crowd Technologies,http://www.3crowd.com,Enterprise Software,7289000,acquired,USA,CA,SF Bay Area,San Mateo,3,2010-01-01,2009-12-22,2012-07-01
3d-4u,3D-4U,http://3d-4u.com,3D@@3D Technology@@Events,750000,operating,USA,WA,WA - Other,Pullman,1,2012-01-01,2014-10-14,2014-10-14
3d-biomatrix,3D Biomatrix,http://3dbiomatrix.com,Biotechnology,1465000,operating,USA,MI,Detroit,Ann Arbor,2,2010-01-01,2009-10-05,2013-02-05
3d-by-flow,3D By Flow,http://3dbyflow.com/,Services,16674,operating,NLD,5,NLD - Other,Maastricht,1,,2015-06-30,2015-06-30
